facet	hue	bin_center	mean_density	error	n_seeds
cross	3	7.054865e-06	0.000000e+00	0.000000e+00	100
cross	3	7.091136e-06	0.000000e+00	0.000000e+00	100
cross	3	7.127408e-06	0.000000e+00	0.000000e+00	100
cross	3	7.163680e-06	0.000000e+00	0.000000e+00	100
cross	3	7.199952e-06	0.000000e+00	0.000000e+00	100
cross	3	7.236224e-06	0.000000e+00	0.000000e+00	100
cross	3	7.272495e-06	0.000000e+00	0.000000e+00	100
cross	3	7.308767e-06	0.000000e+00	0.000000e+00	100
cross	3	7.345039e-06	0.000000e+00	0.000000e+00	100
cross	3	7.381311e-06	0.000000e+00	0.000000e+00	100
cross	3	7.417582e-06	0.000000e+00	0.000000e+00	100
cross	3	7.453854e-06	0.000000e+00	0.000000e+00	100
cross	3	7.490126e-06	0.000000e+00	0.000000e+00	100
cross	3	7.526398e-06	0.000000e+00	0.000000e+00	100
cross	3	7.562670e-06	0.000000e+00	0.000000e+00	100
cross	3	7.598941e-06	0.000000e+00	0.000000e+00	100
cross	3	7.635213e-06	0.000000e+00	0.000000e+00	100
cross	3	7.671485e-06	0.000000e+00	0.000000e+00	100
cross	3	7.707757e-06	0.000000e+00	0.000000e+00	100
cross	3	7.744029e-06	0.000000e+00	0.000000e+00	100
cross	3	7.780300e-06	0.000000e+00	0.000000e+00	100
cross	3	7.816572e-06	0.000000e+00	0.000000e+00	100
cross	3	7.852844e-06	0.000000e+00	0.000000e+00	100
cross	3	7.889116e-06	0.000000e+00	0.000000e+00	100
cross	3	7.925388e-06	0.000000e+00	0.000000e+00	100
cross	3	7.961659e-06	0.000000e+00	0.000000e+00	100
cross	3	7.997931e-06	0.000000e+00	0.000000e+00	100
cross	3	8.034203e-06	0.000000e+00	0.000000e+00	100
cross	3	8.070475e-06	0.000000e+00	0.000000e+00	100
cross	3	8.106747e-06	0.000000e+00	0.000000e+00	100
cross	3	8.143018e-06	0.000000e+00	0.000000e+00	100
cross	3	8.179290e-06	0.000000e+00	0.000000e+00	100
cross	3	8.215562e-06	0.000000e+00	0.000000e+00	100
cross	3	8.251834e-06	0.000000e+00	0.000000e+00	100
cross	3	8.288106e-06	0.000000e+00	0.000000e+00	100
cross	3	8.324377e-06	0.000000e+00	0.000000e+00	100
