facet,hue,bin_center,mean_density,error,n_seeds,original_n_seeds
cross,3,4.588382e-06,0.0,0.0,0,100
cross,3,4.624654e-06,0.0,0.0,0,100
cross,3,4.660926e-06,0.0,0.0,0,100
cross,3,4.697198e-06,0.0,0.0,0,100
cross,3,4.73347e-06,0.0,0.0,0,100
cross,3,4.769741e-06,0.0,0.0,0,100
cross,3,4.806013e-06,0.0,0.0,0,100
cross,3,4.842285e-06,0.0,0.0,0,100
cross,3,4.878557e-06,0.0,0.0,0,100
cross,3,4.914828e-06,0.0,0.0,0,100
cross,3,4.9511e-06,0.0,0.0,0,100
cross,3,4.987372e-06,0.0,0.0,0,100
cross,3,5.023644e-06,0.0,0.0,0,100
cross,3,5.059916e-06,0.0,0.0,0,100
cross,3,5.096187e-06,0.0,0.0,0,100
cross,3,5.132459e-06,0.0,0.0,0,100
cross,3,5.168731e-06,0.0,0.0,0,100
cross,3,5.205003e-06,0.0,0.0,0,100
cross,3,5.241275e-06,0.0,0.0,0,100
cross,3,5.277546e-06,0.0,0.0,0,100
cross,3,5.313818e-06,0.0,0.0,0,100
cross,3,5.35009e-06,0.0,0.0,0,100
cross,3,5.386362e-06,0.0,0.0,0,100
cross,3,5.422634e-06,0.0,0.0,0,100
cross,3,5.458905e-06,0.0,0.0,0,100
cross,3,5.495177e-06,0.0,0.0,0,100
cross,3,5.531449e-06,0.0,0.0,0,100
cross,3,5.567721e-06,0.0,0.0,0,100
cross,3,5.603993e-06,0.0,0.0,0,100
cross,3,5.640264e-06,0.0,0.0,0,100
cross,3,5.676536e-06,0.0,0.0,0,100
cross,3,5.712808e-06,0.0,0.0,0,100
cross,3,5.74908e-06,0.0,0.0,0,100
cross,3,5.785352e-06,0.0,0.0,0,100
cross,3,5.821623e-06,0.0,0.0,0,100
cross,3,5.857895e-06,0.0,0.0,0,100
cross,3,5.894167e-06,0.0,0.0,0,100
cross,3,5.930439e-06,0.0,0.0,0,100
cross,3,5.966711e-06,0.0,0.0,0,100
cross,3,6.002982e-06,0.0,0.0,0,100
cross,3,6.039254e-06,0.0,0.0,0,100
cross,3,6.075526e-06,0.0,0.0,0,100
cross,3,6.111798e-06,0.0,0.0,0,100
cross,3,6.14807e-06,0.0,0.0,0,100
cross,3,6.184341e-06,0.0,0.0,0,100
cross,3,6.220613e-06,0.0,0.0,0,100
cross,3,6.256885e-06,0.0,0.0,0,100
cross,3,6.293157e-06,0.0,0.0,0,100
cross,3,6.329429e-06,0.0,0.0,0,100
cross,3,6.3657e-06,0.0,0.0,0,100
cross,3,6.401972e-06,0.0,0.0,0,100
cross,3,6.438244e-06,0.0,0.0,0,100
cross,3,6.474516e-06,0.0,0.0,0,100
cross,3,6.510788e-06,0.0,0.0,0,100
cross,3,6.547059e-06,0.0,0.0,0,100
cross,3,6.583331e-06,0.0,0.0,0,100
cross,3,6.619603e-06,0.0,0.0,0,100
cross,3,6.655875e-06,0.0,0.0,0,100
cross,3,6.692147e-06,0.0,0.0,0,100
cross,3,6.728418e-06,0.0,0.0,0,100
cross,3,6.76469e-06,0.0,0.0,0,100
cross,3,6.800962e-06,0.0,0.0,0,100
cross,3,6.837234e-06,0.0,0.0,0,100
cross,3,6.873506e-06,0.0,0.0,0,100
cross,3,6.909777e-06,0.0,0.0,0,100
cross,3,6.946049e-06,0.0,0.0,0,100
cross,3,6.982321e-06,0.0,0.0,0,100
cross,3,7.018593e-06,0.0,0.0,0,100
cross,3,7.054865e-06,0.0,0.0,0,100
cross,3,7.091136e-06,0.0,0.0,0,100
cross,3,7.127408e-06,0.0,0.0,0,100
cross,3,7.16368e-06,0.0,0.0,0,100
cross,3,7.199952e-06,0.0,0.0,0,100
cross,3,7.236224e-06,0.0,0.0,0,100
cross,3,7.272495e-06,0.0,0.0,0,100
